year,ynew,x2new,x4new,x5new,x7new
1983,1352300,407,1564500,40.96,8.92
1984,1326700,515,1493600,41.49,9.39
1985,1375600,669,1954500,42.09,9.34
1986,1364000,882,2495000,45.37,10.1
1987,1398900,992,3170000,44.96,9.2
1988,1468700,1212,3739600,46.96,8.93
1989,1561800,1319,4457700,48.46,9.16
1990,1934100,1556,5209000,51.31,9.98
1991,2085400,1698,6594800,54.62,10.73
1992,2515900,1918,7865100,58.99,11.39
1993,2934800,2396,9068400,60.03,11.92
1994,3402600,2621,10297300,62.55,12.81
1995,3653000,2673,11021300,62.28,13.42
1996,3947100,2797,12280400,63.95,14.61
1997,4110000,2967,13251700,66.61,14.44
1998,4307700,3055,14949200,68.05,14.73
1999,4559200,3170,15948900,69.28,15.25
2000,4622000,3292,15707600,71.04,15.67
2001,5114500,3499,17272000,71.04,16.31
2002,6025000,5318,18455900,72.11,17.07
2003,7068200,7600,18769100,71.99,17.59
2004,8019000,8058,24553600,71.44,17.56
2005,8960500,9317,29220600,71.17,16.83
2006,9532500,10887,32175600,71.47,16.61